character_name,traits,category
Peter Mullan,"['is_male', 'is_actor']",Acting
Giovanni Ribisi,"['is_male', 'is_actor']",Acting
Philip Seymour Hoffman,"['is_male', 'is_actor']",Acting
Richard Dreyfuss,"['is_male', 'is_actor']",Acting
Patton Oswalt,"['is_male', 'is_actor']",Acting
Mary Elizabeth Mastrantonio,"['is_female', 'is_actor']",Acting
Liev Schreiber,"['is_male', 'is_actor']",Acting
Richard Chamberlain,"['is_male', 'is_actor']",Acting
Chang Chen,"['is_male', 'is_actor']",Acting
Yuji Okumoto,"['is_male', 'is_actor']",Acting
Alfonso Freeman,"['is_male', 'is_actor']",Acting
Nebahat Çehre,"['is_female', 'is_actor']",Acting
Melanie Griffith,"['is_female', 'is_actor']",Acting
Audrey Fleurot,"['is_female', 'is_actor']",Acting
Ayaka Miyoshi,"['is_female', 'is_actor']",Acting
Vincent Price,"['is_male', 'is_actor']",Acting
Shannen Doherty,"['is_female', 'is_actor']",Acting
Toby Jones,"['is_male', 'is_actor']",Acting
Tony Leung Chiu-wai,"['is_male', 'is_actor']",Acting
Kelly Stables,"['is_female', 'is_actor']",Acting
Andrew McCarthy,"['is_male', 'is_actor']",Acting
Jaime Lorente,"['is_male', 'is_actor']",Acting
Jane Lynch,"['is_female', 'is_actor']",Acting
Si Man Yeung,"['is_female', 'is_actor']",Acting
Manuel Garcia-Rulfo,"['is_male', 'is_actor']",Acting
Max Martini,"['is_male', 'is_actor']",Acting
Dani Kind,"['is_female', 'is_actor']",Acting
Jai Courtney,"['is_male', 'is_actor']",Acting
Vince Gilligan,"['is_male', 'is_writer']",Writing
Kanna Hashimoto,"['is_female', 'is_actor']",Acting
Jay Harrington,"['is_male', 'is_actor']",Acting
Chuck Norris,"['is_male', 'is_actor']",Acting
Tom Felton,"['is_male', 'is_actor']",Acting
Taraji P. Henson,"['is_female', 'is_actor']",Acting
Octavia Spencer,"['is_female', 'is_actor']",Acting
Ari Aster,"['is_male', 'is_director']",Directing
Eddie Kaye Thomas,"['is_male', 'is_actor']",Acting
Chris Wood,"['is_male', 'is_actor']",Acting
